label,image
0,images/train/angry/21196.jpg
0,images/validation/angry/20505.jpg
0,images/train/angry/5907.jpg
0,images/validation/angry/35731.jpg
0,images/train/angry/20993.jpg
0,images/validation/angry/6129.jpg
0,images/train/angry/3850.jpg
0,images/train/angry/4530.jpg
0,images/train/angry/24327.jpg
0,images/train/angry/33401.jpg
0,images/train/angry/14698.jpg
0,images/train/angry/34842.jpg
0,images/train/angry/202.jpg
0,images/train/angry/17754.jpg
0,images/train/angry/10510.jpg
0,images/train/angry/11377.jpg
0,images/train/angry/19348.jpg
0,images/validation/angry/34448.jpg
0,images/train/angry/8202.jpg
0,images/train/angry/27512.jpg
0,images/train/angry/16576.jpg
0,images/validation/angry/19114.jpg
0,images/train/angry/860.jpg
0,images/train/angry/28668.jpg
0,images/train/angry/34320.jpg
0,images/train/angry/2925.jpg
0,images/train/angry/18859.jpg
0,images/train/angry/30066.jpg
0,images/train/angry/7496.jpg
0,images/train/angry/22046.jpg
0,images/train/angry/6490.jpg
0,images/train/angry/7778.jpg
0,images/validation/angry/6547.jpg
0,images/train/angry/4438.jpg
0,images/train/angry/22892.jpg
0,images/train/angry/7086.jpg
0,images/validation/angry/6155.jpg
0,images/train/angry/6201.jpg
0,images/train/angry/30548.jpg
0,images/train/angry/7514.jpg
0,images/validation/angry/3839.jpg
0,images/train/angry/25024.jpg
0,images/train/angry/7370.jpg
0,images/train/angry/5546.jpg
0,images/train/angry/10253.jpg
0,images/train/angry/6131.jpg
0,images/validation/angry/14058.jpg
0,images/train/angry/24221.jpg
0,images/validation/angry/17371.jpg
0,images/validation/angry/23194.jpg
0,images/train/angry/28975.jpg
0,images/validation/angry/5422.jpg
0,images/train/angry/3100.jpg
0,images/validation/angry/13351.jpg
0,images/train/angry/27691.jpg
0,images/validation/angry/7015.jpg
0,images/train/angry/14312.jpg
0,images/train/angry/2100.jpg
0,images/train/angry/3103.jpg
0,images/train/angry/4742.jpg
0,images/train/angry/1311.jpg
0,images/train/angry/8162.jpg
0,images/train/angry/14126.jpg
0,images/train/angry/21497.jpg
0,images/train/angry/22175.jpg
0,images/train/angry/34852.jpg
0,images/train/angry/15465.jpg
0,images/train/angry/24638.jpg
0,images/train/angry/3815.jpg
0,images/validation/angry/16875.jpg
0,images/train/angry/19876.jpg
0,images/train/angry/9317.jpg
0,images/train/angry/5439.jpg
0,images/validation/angry/24821.jpg
0,images/train/angry/29862.jpg
0,images/train/angry/29259.jpg
0,images/train/angry/14865.jpg
0,images/train/angry/2150.jpg
0,images/train/angry/18808.jpg
0,images/train/angry/18968.jpg
0,images/train/angry/5104.jpg
0,images/validation/angry/18882.jpg
0,images/train/angry/34686.jpg
0,images/train/angry/21994.jpg
0,images/train/angry/27838.jpg
0,images/validation/angry/10095.jpg
0,images/train/angry/27536.jpg
0,images/train/angry/35774.jpg
0,images/train/angry/32172.jpg
0,images/train/angry/14758.jpg
0,images/train/angry/15952.jpg
0,images/validation/angry/15715.jpg
0,images/train/angry/29971.jpg
0,images/train/angry/29596.jpg
0,images/train/angry/19866.jpg
0,images/train/angry/15363.jpg
0,images/validation/angry/23521.jpg
0,images/train/angry/18899.jpg
0,images/train/angry/9752.jpg
0,images/train/angry/22065.jpg
0,images/train/angry/33899.jpg
0,images/validation/angry/34359.jpg
0,images/train/angry/23382.jpg
0,images/train/angry/9501.jpg
0,images/train/angry/5682.jpg
0,images/train/angry/12222.jpg
0,images/train/angry/9782.jpg
0,images/train/angry/31472.jpg
0,images/train/angry/23177.jpg
0,images/train/angry/31726.jpg
0,images/validation/angry/26121.jpg
0,images/train/angry/33185.jpg
0,images/train/angry/31586.jpg
0,images/train/angry/3702.jpg
0,images/train/angry/9168.jpg
0,images/train/angry/21457.jpg
0,images/train/angry/6355.jpg
0,images/train/angry/4673.jpg
0,images/train/angry/10623.jpg
0,images/train/angry/1192.jpg
0,images/validation/angry/24711.jpg
0,images/train/angry/22656.jpg
0,images/train/angry/30977.jpg
0,images/train/angry/17835.jpg
0,images/validation/angry/16169.jpg
0,images/train/angry/4880.jpg
0,images/train/angry/8412.jpg
0,images/train/angry/18305.jpg
0,images/train/angry/35572.jpg
0,images/train/angry/26358.jpg
0,images/train/angry/23004.jpg
0,images/train/angry/18343.jpg
0,images/validation/angry/29818.jpg
0,images/train/angry/10226.jpg
0,images/train/angry/56.jpg
0,images/train/angry/9512.jpg
0,images/validation/angry/8581.jpg
0,images/train/angry/18495.jpg
0,images/train/angry/16746.jpg
0,images/validation/angry/20374.jpg
0,images/validation/angry/23.jpg
0,images/train/angry/27804.jpg
0,images/train/angry/21094.jpg
0,images/validation/angry/1899.jpg
0,images/train/angry/29066.jpg
0,images/train/angry/10431.jpg
0,images/train/angry/5542.jpg
0,images/train/angry/35548.jpg
0,images/validation/angry/17053.jpg
0,images/validation/angry/28932.jpg
0,images/train/angry/34781.jpg
0,images/train/angry/26530.jpg
0,images/train/angry/18819.jpg
0,images/validation/angry/11002.jpg
0,images/train/angry/26858.jpg
0,images/validation/angry/30933.jpg
0,images/train/angry/1216.jpg
0,images/train/angry/15593.jpg
0,images/validation/angry/29588.jpg
0,images/train/angry/2396.jpg
0,images/train/angry/545.jpg
0,images/train/angry/29103.jpg
0,images/validation/angry/31529.jpg
0,images/validation/angry/12733.jpg
0,images/train/angry/28349.jpg
0,images/train/angry/32410.jpg
0,images/train/angry/12392.jpg
0,images/train/angry/31028.jpg
0,images/train/angry/12666.jpg
0,images/train/angry/12235.jpg
0,images/train/angry/26714.jpg
0,images/train/angry/14616.jpg
0,images/train/angry/13892.jpg
0,images/train/angry/31670.jpg
0,images/train/angry/28610.jpg
0,images/train/angry/12710.jpg
0,images/train/angry/3035.jpg
0,images/validation/angry/13582.jpg
0,images/train/angry/19551.jpg
0,images/validation/angry/25255.jpg
0,images/validation/angry/8267.jpg
0,images/validation/angry/25209.jpg
0,images/validation/angry/35028.jpg
0,images/train/angry/19334.jpg
0,images/train/angry/15596.jpg
0,images/train/angry/23543.jpg
0,images/train/angry/29378.jpg
0,images/validation/angry/14376.jpg
0,images/train/angry/26051.jpg
0,images/train/angry/16919.jpg
0,images/train/angry/25928.jpg
0,images/train/angry/29279.jpg
0,images/train/angry/31711.jpg
0,images/validation/angry/33444.jpg
0,images/train/angry/13442.jpg
0,images/validation/angry/22733.jpg
0,images/train/angry/11557.jpg
0,images/train/angry/17860.jpg
0,images/train/angry/27872.jpg
0,images/validation/angry/6890.jpg
0,images/train/angry/4009.jpg
0,images/train/angry/20403.jpg
0,images/validation/angry/35682.jpg
0,images/train/angry/8010.jpg
0,images/train/angry/19425.jpg
0,images/validation/angry/20849.jpg
0,images/train/angry/24622.jpg
0,images/validation/angry/4468.jpg
0,images/train/angry/20044.jpg
0,images/train/angry/20871.jpg
0,images/validation/angry/20303.jpg
0,images/train/angry/18197.jpg
0,images/train/angry/22400.jpg
0,images/train/angry/16956.jpg
0,images/train/angry/14478.jpg
0,images/train/angry/3273.jpg
0,images/train/angry/13425.jpg
